Date,TRV
1977-05-03,8.4375
1977-05-04,8.5
1977-05-05,8.5
1977-05-06,8.4375
1977-05-09,8.4375
1977-05-10,8.5
1977-05-11,8.46875
1977-05-12,8.5
1977-05-13,8.5625
1977-05-16,8.65625
1977-05-17,8.78125
1977-05-18,8.9375
1977-05-19,8.9375
1977-05-20,8.9375
1977-05-23,8.65625
1977-05-24,8.6875
1977-05-25,8.65625
1977-05-26,8.59375
1977-05-27,8.59375
1977-05-31,8.59375
1977-06-01,8.65625
1977-06-02,8.71875
1977-06-03,8.8125
1977-06-06,8.8125
1977-06-07,8.9375
1977-06-08,9.0
1977-06-09,8.96875
1977-06-10,9.0
1977-06-13,9.0
1977-06-14,9.0
1977-06-15,9.0
1977-06-16,9.03125
1977-06-17,9.09375
1977-06-20,9.125
1977-06-21,9.15625
1977-06-22,9.15625
1977-06-23,9.1875
1977-06-24,9.25
1977-06-27,9.21875
1977-06-28,9.03125
1977-06-29,9.0
1977-06-30,9.03125
1977-07-01,9.0
1977-07-05,9.0
1977-07-06,8.84375
1977-07-07,8.78125
1977-07-08,8.75
1977-07-11,8.75
1977-07-12,8.53125
1977-07-13,8.53125
1977-07-15,8.5
1977-07-18,8.5
1977-07-19,8.5625
1977-07-20,8.5625
1977-07-21,8.625
1977-07-22,8.625
1977-07-25,8.625
1977-07-26,8.53125
1977-07-27,8.5
1977-07-28,8.46875
1977-07-29,8.5
1977-08-01,8.5625
1977-08-02,8.5625
1977-08-03,8.5
1977-08-04,8.59375
1977-08-05,8.65625
1977-08-08,8.65625
1977-08-09,8.71875
1977-08-10,8.875
1977-08-11,8.90625
1977-08-12,8.875
1977-08-15,8.8125
1977-08-16,8.71875
1977-08-17,8.71875
1977-08-18,8.75
1977-08-19,8.75
1977-08-22,8.75
1977-08-23,8.5
1977-08-24,8.40625
1977-08-25,8.25
1977-08-26,8.1875
1977-08-29,8.25
1977-08-30,8.1875
1977-08-31,8.125
1977-09-01,8.15625
1977-09-02,8.25
1977-09-06,8.1875
1977-09-07,8.1875
1977-09-08,8.1875
1977-09-09,8.125
1977-09-12,8.03125
1977-09-13,8.03125
1977-09-14,8.09375
1977-09-15,8.125
1977-09-16,8.0
1977-09-19,7.875
1977-09-20,7.8125
1977-09-21,7.5625
1977-09-22,7.4375
1977-09-23,7.4375
1977-09-26,7.4375
1977-09-27,7.40625
1977-09-28,7.34375
1977-09-29,7.5
1977-09-30,7.5625
1977-10-03,7.5625
1977-10-04,7.59375
1977-10-05,7.65625
1977-10-06,7.9375
1977-10-07,8.0
1977-10-10,7.875
1977-10-11,7.78125
1977-10-12,7.6875
1977-10-13,7.65625
1977-10-14,7.8125
1977-10-17,7.8125
1977-10-18,7.8125
1977-10-19,7.65625
1977-10-20,7.6875
1977-10-21,7.59375
1977-10-24,7.40625
1977-10-25,7.1875
1977-10-26,7.125
1977-10-27,7.21875
1977-10-28,7.375
1977-10-31,7.40625
1977-11-01,7.34375
1977-11-02,7.0625
1977-11-03,7.125
1977-11-04,7.28125
1977-11-07,7.3125
1977-11-08,7.34375
1977-11-09,7.4375
1977-11-10,7.625
1977-11-11,7.875
1977-11-14,7.9375
1977-11-15,7.9375
1977-11-16,7.9375
1977-11-17,7.8125
1977-11-18,7.9375
1977-11-21,7.84375
1977-11-22,7.96875
1977-11-23,8.15625
1977-11-25,8.1875
1977-11-28,8.15625
1977-11-29,8.0
1977-11-30,7.875
1977-12-01,7.9375
1977-12-02,7.875
1977-12-05,7.84375
1977-12-06,7.75
1977-12-07,7.6875
1977-12-08,7.71875
1977-12-09,7.75
1977-12-12,7.78125
1977-12-13,7.84375
1977-12-14,7.75
1977-12-15,7.6875
1977-12-16,7.71875
1977-12-19,7.625
1977-12-20,7.65625
1977-12-21,7.9375
1977-12-22,8.0
1977-12-23,8.0
1977-12-27,8.0
1977-12-28,8.0
1977-12-29,7.875
1977-12-30,7.875
1978-01-03,7.71875
1978-01-04,7.75
1978-01-05,7.6875
1978-01-06,7.4375
1978-01-09,7.21875
1978-01-10,7.125
1978-01-11,7.125
1978-01-12,7.15625
1978-01-13,7.0625
1978-01-16,6.9375
1978-01-17,7.0
1978-01-18,7.0
1978-01-19,7.0
1978-01-20,7.0
1978-01-23,6.875
1978-01-24,6.96875
1978-01-25,7.0
1978-01-26,7.0
1978-01-27,7.0
1978-01-30,6.96875
1978-01-31,6.96875
1978-02-01,7.0625
1978-02-02,7.09375
1978-02-03,7.34375
1978-02-06,7.4375
1978-02-07,7.5
1978-02-08,7.5625
1978-02-09,7.5625
1978-02-10,7.5625
1978-02-13,7.375
1978-02-14,7.1875
1978-02-15,7.21875
1978-02-16,7.1875
1978-02-17,7.1875
1978-02-21,7.1875
1978-02-22,7.3125
1978-02-23,7.40625
1978-02-24,7.5625
1978-02-27,7.375
1978-02-28,7.3125
1978-03-01,7.375
1978-03-02,7.34375
1978-03-03,7.375
1978-03-06,7.34375
1978-03-07,7.4375
1978-03-08,7.46875
1978-03-09,7.65625
1978-03-10,7.75
1978-03-13,7.65625
1978-03-14,7.6875
1978-03-15,7.6875
1978-03-16,7.75
1978-03-17,7.75
1978-03-20,7.8125
1978-03-21,7.8125
1978-03-22,7.90625
1978-03-23,7.9375
1978-03-27,7.875
1978-03-28,7.84375
1978-03-29,7.84375
1978-03-30,7.84375
1978-03-31,7.75
1978-04-03,7.6875
1978-04-04,7.75
1978-04-05,7.875
1978-04-06,8.0
1978-04-07,8.0625
1978-04-10,8.0625
1978-04-11,7.96875
1978-04-12,8.0
1978-04-13,8.15625
1978-04-14,8.3125
1978-04-17,8.46875
1978-04-18,8.5
1978-04-19,8.4375
1978-04-20,8.65625
1978-04-21,8.6875
1978-04-24,8.75
1978-04-25,8.84375
1978-04-26,8.84375
1978-04-27,8.65625
1978-04-28,8.6875
1978-05-01,8.75
1978-05-02,8.625
1978-05-03,8.4375
1978-05-04,8.375
1978-05-05,8.46875
1978-05-08,8.4375
1978-05-09,8.5
1978-05-10,8.5
1978-05-11,8.4375
1978-05-12,8.4375
1978-05-15,8.375
1978-05-16,8.4375
1978-05-17,8.375
1978-05-18,8.34375
1978-05-19,8.3125
1978-05-22,8.25
1978-05-23,8.1875
1978-05-24,8.125
1978-05-25,8.125
1978-05-26,8.0
1978-05-30,7.9375
1978-05-31,7.875
1978-06-01,7.875
1978-06-02,7.9375
1978-06-05,8.34375
1978-06-06,8.28125
1978-06-07,8.4375
1978-06-08,8.75
1978-06-09,8.96875
1978-06-12,8.875
1978-06-13,8.875
1978-06-14,8.96875
1978-06-15,9.0
1978-06-16,9.0
1978-06-19,8.96875
1978-06-20,8.9375
1978-06-21,8.65625
1978-06-22,8.5
1978-06-23,8.5625
1978-06-26,8.375
1978-06-27,8.28125
1978-06-28,8.28125
1978-06-29,8.125
1978-06-30,8.15625
1978-07-03,8.1875
1978-07-05,8.09375
1978-07-06,8.0625
1978-07-07,8.0625
1978-07-10,8.1875
1978-07-11,8.1875
1978-07-12,8.1875
1978-07-13,8.1875
1978-07-14,8.21875
1978-07-17,8.28125
1978-07-18,8.21875
1978-07-19,8.375
1978-07-20,8.40625
1978-07-21,8.3125
1978-07-24,8.3125
1978-07-25,8.46875
1978-07-26,8.53125
1978-07-27,8.625
1978-07-28,8.59375
1978-07-31,8.625
1978-08-01,8.6875
1978-08-02,8.6875
1978-08-03,8.96875
1978-08-04,9.3125
1978-08-07,9.5
1978-08-08,9.625
1978-08-09,9.6875
1978-08-10,9.65625
1978-08-11,9.625
1978-08-14,9.5625
1978-08-15,9.53125
1978-08-16,9.65625
1978-08-17,9.65625
1978-08-18,9.75
1978-08-21,9.53125
1978-08-22,9.46875
1978-08-23,9.5
1978-08-24,9.40625
1978-08-25,9.40625
1978-08-28,9.25
1978-08-29,9.03125
1978-08-30,9.0
1978-08-31,9.0
1978-09-01,9.125
1978-09-05,9.21875
1978-09-06,9.28125
1978-09-07,9.34375
1978-09-08,9.46875
1978-09-11,9.46875
1978-09-12,9.4375
1978-09-13,9.46875
1978-09-14,9.40625
1978-09-15,9.34375
1978-09-18,9.25
1978-09-19,9.15625
1978-09-20,9.15625
1978-09-21,9.125
1978-09-22,9.0625
1978-09-25,9.0
1978-09-26,9.0
1978-09-27,8.71875
1978-09-28,8.71875
1978-09-29,8.6875
1978-10-02,8.71875
1978-10-03,8.71875
1978-10-04,8.6875
1978-10-05,8.65625
1978-10-06,8.6875
1978-10-09,8.78125
1978-10-10,8.875
1978-10-11,8.875
1978-10-12,8.875
1978-10-13,8.875
1978-10-16,8.78125
1978-10-17,8.6875
1978-10-18,8.625
1978-10-19,8.5625
1978-10-20,8.28125
1978-10-23,8.1875
1978-10-24,8.0
1978-10-25,7.875
1978-10-26,7.6875
1978-10-27,7.3125
1978-10-30,7.46875
1978-10-31,7.4375
1978-11-01,7.71875
1978-11-02,7.625
1978-11-03,7.625
1978-11-06,7.625
1978-11-07,7.75
1978-11-08,7.6875
1978-11-09,7.9375
1978-11-10,8.25
1978-11-13,8.03125
1978-11-14,7.96875
1978-11-15,8.1875
1978-11-16,8.1875
1978-11-17,8.25
1978-11-20,8.40625
1978-11-21,8.34375
1978-11-22,8.34375
1978-11-24,8.40625
1978-11-27,8.25
1978-11-28,8.1875
1978-11-29,8.09375
1978-11-30,8.25
1978-12-01,8.34375
1978-12-04,8.3125
1978-12-05,8.375
1978-12-06,8.40625
1978-12-07,8.40625
1978-12-08,8.5
1978-12-11,8.53125
1978-12-12,8.46875
1978-12-13,8.4375
1978-12-14,8.4375
1978-12-15,8.375
1978-12-18,8.03125
1978-12-19,8.03125
1978-12-20,8.03125
1978-12-21,8.1875
1978-12-22,8.1875
1978-12-26,8.25
1978-12-27,8.25
1978-12-28,8.28125
1978-12-29,8.3125
1979-01-02,8.25
1979-01-03,8.40625
1979-01-04,8.5
1979-01-05,8.6875
1979-01-08,8.65625
1979-01-09,8.84375
1979-01-10,8.9375
1979-01-11,8.9375
1979-01-12,8.9375
1979-01-15,9.0
1979-01-16,8.90625
1979-01-17,8.8125
1979-01-18,8.75
1979-01-19,8.59375
1979-01-22,8.59375
1979-01-23,8.71875
1979-01-24,8.78125
1979-01-25,9.0
1979-01-26,9.03125
1979-01-29,8.96875
1979-01-30,8.96875
1979-01-31,8.90625
1979-02-01,9.0
1979-02-02,9.0
1979-02-05,8.8125
1979-02-06,8.8125
1979-02-07,8.71875
1979-02-08,8.71875
1979-02-09,8.71875
1979-02-12,8.6875
1979-02-13,8.75
1979-02-14,8.6875
1979-02-15,8.6875
1979-02-16,8.78125
1979-02-20,8.6875
1979-02-21,8.65625
1979-02-22,8.625
1979-02-23,8.6875
1979-02-26,8.71875
1979-02-27,8.65625
1979-02-28,8.6875
1979-03-01,8.875
1979-03-02,8.9375
1979-03-05,9.125
1979-03-06,9.0625
1979-03-07,9.125
1979-03-08,9.5625
1979-03-09,9.53125
1979-03-12,9.4375
1979-03-13,9.46875
1979-03-14,9.375
1979-03-15,9.34375
1979-03-16,9.25
1979-03-19,9.40625
1979-03-20,9.3125
1979-03-21,9.375
1979-03-22,9.34375
1979-03-23,9.34375
1979-03-26,9.25
1979-03-27,9.375
1979-03-28,9.4375
1979-03-29,9.53125
1979-03-30,9.6875
1979-04-02,9.5625
1979-04-03,9.59375
1979-04-04,9.59375
1979-04-05,9.5
1979-04-06,9.46875
1979-04-09,9.46875
1979-04-10,9.46875
1979-04-11,9.46875
1979-04-12,9.4375
1979-04-16,9.4375
1979-04-17,9.5625
1979-04-18,9.65625
1979-04-19,9.65625
1979-04-20,9.71875
1979-04-23,9.6875
1979-04-24,9.6875
1979-04-25,9.6875
1979-04-26,9.65625
1979-04-27,9.59375
1979-04-30,9.5
1979-05-01,9.46875
1979-05-02,9.4375
1979-05-03,9.40625
1979-05-04,9.3125
1979-05-07,9.1875
1979-05-08,9.25
1979-05-09,9.5
1979-05-10,9.4375
1979-05-11,9.375
1979-05-14,9.28125
1979-05-15,9.25
1979-05-16,9.25
1979-05-17,9.375
1979-05-18,9.34375
1979-05-21,9.3125
1979-05-22,9.375
1979-05-23,9.34375
1979-05-24,9.3125
1979-05-25,9.3125
1979-05-29,9.25
1979-05-30,9.15625
1979-05-31,9.125
1979-06-01,9.15625
1979-06-04,9.25
1979-06-05,9.34375
1979-06-06,9.5
1979-06-07,9.75
1979-06-08,9.75
1979-06-11,9.75
1979-06-12,10.0
1979-06-13,9.875
1979-06-14,9.9375
1979-06-15,9.9375
1979-06-18,10.03125
1979-06-19,10.0
1979-06-20,9.9375
1979-06-21,9.9375
1979-06-22,9.875
1979-06-25,9.71875
1979-06-26,9.625
1979-06-27,9.625
1979-06-28,9.65625
1979-06-29,9.625
1979-07-02,9.40625
1979-07-03,9.5
1979-07-05,9.5625
1979-07-06,9.625
1979-07-09,9.8125
1979-07-10,9.8125
1979-07-11,9.8125
1979-07-12,9.8125
1979-07-13,9.78125
1979-07-16,9.84375
1979-07-17,10.0
1979-07-18,9.96875
1979-07-19,9.78125
1979-07-20,9.8125
1979-07-23,9.78125
1979-07-24,9.75
1979-07-25,9.90625
1979-07-26,9.96875
1979-07-27,9.9375
1979-07-30,9.96875
1979-07-31,9.96875
1979-08-01,10.03125
1979-08-02,10.0625
1979-08-03,9.9375
1979-08-06,9.875
1979-08-07,9.875
1979-08-08,9.9375
1979-08-09,9.9375
1979-08-10,9.9375
1979-08-13,10.0
1979-08-14,10.0
1979-08-15,9.96875
1979-08-16,9.96875
1979-08-17,9.9375
1979-08-20,9.9375
1979-08-21,10.0
1979-08-22,10.0
1979-08-23,10.09375
1979-08-24,10.0625
1979-08-27,10.0625
1979-08-28,10.125
1979-08-29,10.03125
1979-08-30,9.9375
1979-08-31,9.84375
1979-09-04,9.625
1979-09-05,9.625
1979-09-06,9.6875
1979-09-07,10.0
1979-09-10,10.25
1979-09-11,10.15625
1979-09-12,10.03125
1979-09-13,10.125
1979-09-14,10.25
1979-09-17,10.25
1979-09-18,10.125
1979-09-19,10.15625
1979-09-20,10.21875
1979-09-21,10.21875
1979-09-24,10.125
1979-09-25,10.15625
1979-09-26,10.28125
1979-09-27,10.25
1979-09-28,10.21875
1979-10-01,10.09375
1979-10-02,10.125
1979-10-03,10.15625
1979-10-04,10.25
1979-10-05,10.40625
1979-10-08,10.21875
1979-10-09,10.0625
1979-10-10,9.625
1979-10-11,9.6875
1979-10-12,9.75
1979-10-15,9.4375
1979-10-16,9.34375
1979-10-17,9.40625
1979-10-18,9.5625
1979-10-19,9.4375
1979-10-22,9.3125
1979-10-23,9.1875
1979-10-24,9.21875
1979-10-25,9.1875
1979-10-26,9.125
1979-10-29,9.125
1979-10-30,9.0625
1979-10-31,9.03125
1979-11-01,9.0
1979-11-02,8.875
1979-11-05,8.84375
1979-11-06,8.8125
1979-11-07,8.75
1979-11-08,8.75
1979-11-09,8.8125
1979-11-12,8.8125
1979-11-13,8.96875
1979-11-14,9.125
1979-11-15,9.25
1979-11-16,9.21875
1979-11-19,9.3125
1979-11-20,9.34375
1979-11-21,9.3125
1979-11-23,9.53125
1979-11-26,9.78125
1979-11-27,9.84375
1979-11-28,10.15625
1979-11-29,10.15625
1979-11-30,10.125
1979-12-03,9.875
1979-12-04,9.84375
1979-12-05,9.875
1979-12-06,9.9375
1979-12-07,9.96875
1979-12-10,9.96875
1979-12-11,9.875
1979-12-12,9.84375
1979-12-13,9.84375
1979-12-14,9.90625
1979-12-17,10.125
1979-12-18,10.25
1979-12-19,10.25
1979-12-20,10.375
1979-12-21,10.3125
1979-12-24,10.25
1979-12-26,10.25
1979-12-27,10.21875
1979-12-28,10.21875
1979-12-31,10.1875
1980-01-02,10.0625
1980-01-03,10.0625
1980-01-04,10.125
1980-01-07,10.0625
1980-01-08,10.09375
1980-01-09,10.09375
1980-01-10,10.0625
1980-01-11,10.3125
1980-01-14,10.5625
1980-01-15,10.53125
1980-01-16,10.53125
1980-01-17,10.46875
1980-01-18,10.4375
1980-01-21,10.46875
1980-01-22,10.46875
1980-01-23,10.5
1980-01-24,10.53125
1980-01-25,10.53125
1980-01-28,10.5
1980-01-29,10.34375
1980-01-30,10.3125
1980-01-31,10.0625
1980-02-01,9.6875
1980-02-04,9.65625
1980-02-05,9.625
1980-02-06,9.53125
1980-02-07,9.09375
1980-02-08,9.1875
1980-02-11,9.21875
1980-02-12,9.21875
1980-02-13,9.25
1980-02-14,9.25
1980-02-15,8.875
1980-02-19,8.84375
1980-02-20,8.6875
1980-02-21,8.5
1980-02-22,8.28125
1980-02-25,8.0625
1980-02-26,8.1875
1980-02-27,8.15625
1980-02-28,8.15625
1980-02-29,8.25
1980-03-03,8.25
1980-03-04,8.25
1980-03-05,8.1875
1980-03-06,8.0625
1980-03-07,7.8125
1980-03-10,7.84375
1980-03-11,7.875
1980-03-12,7.75
1980-03-13,7.9375
1980-03-14,8.125
1980-03-17,8.0
1980-03-18,8.21875
1980-03-19,8.375
1980-03-20,8.59375
1980-03-21,8.5625
1980-03-24,8.5625
1980-03-25,8.59375
1980-03-26,8.59375
1980-03-27,8.375
1980-03-28,8.4375
1980-03-31,8.375
1980-04-01,8.65625
1980-04-02,8.9375
1980-04-03,8.9375
1980-04-07,8.625
1980-04-08,8.75
1980-04-09,8.9375
1980-04-10,8.875
1980-04-11,8.84375
1980-04-14,8.8125
1980-04-15,8.8125
1980-04-16,8.78125
1980-04-17,8.6875
1980-04-18,8.75
1980-04-21,8.71875
1980-04-22,8.78125
1980-04-23,8.875
1980-04-24,8.90625
1980-04-25,8.84375
1980-04-28,8.84375
1980-04-29,8.8125
1980-04-30,8.8125
1980-05-01,8.625
1980-05-02,8.59375
1980-05-05,8.625
1980-05-06,8.75
1980-05-07,8.75
1980-05-08,8.71875
1980-05-09,8.71875
1980-05-12,8.6875
1980-05-13,8.8125
1980-05-14,9.21875
1980-05-15,9.5
1980-05-16,9.4375
1980-05-19,9.25
1980-05-20,9.0625
1980-05-21,8.96875
1980-05-22,8.9375
1980-05-23,8.96875
1980-05-27,9.0
1980-05-28,8.90625
1980-05-29,8.875
1980-05-30,8.875
1980-06-02,8.84375
1980-06-03,8.8125
1980-06-04,8.875
1980-06-05,8.90625
1980-06-06,8.84375
1980-06-09,8.8125
1980-06-10,8.90625
1980-06-11,8.875
1980-06-12,8.8125
1980-06-13,8.84375
1980-06-16,8.84375
1980-06-17,8.84375
1980-06-18,8.84375
1980-06-19,8.84375
1980-06-20,8.84375
1980-06-23,8.84375
1980-06-24,8.8125
1980-06-25,8.90625
1980-06-26,9.0625
1980-06-27,9.125
1980-06-30,9.0625
1980-07-01,9.0625
1980-07-02,9.09375
1980-07-03,9.09375
1980-07-07,9.15625
1980-07-08,9.09375
1980-07-09,9.09375
1980-07-10,8.8125
1980-07-11,8.875
1980-07-14,8.90625
1980-07-15,8.90625
1980-07-16,8.84375
1980-07-17,8.90625
1980-07-18,9.0625
1980-07-21,9.0625
1980-07-22,8.84375
1980-07-23,9.0
1980-07-24,9.0625
1980-07-25,9.03125
1980-07-28,9.03125
1980-07-29,8.96875
1980-07-30,9.03125
1980-07-31,9.0625
1980-08-01,9.0625
1980-08-04,9.03125
1980-08-05,9.0625
1980-08-06,8.96875
1980-08-07,8.96875
1980-08-08,8.96875
1980-08-11,8.90625
1980-08-12,8.90625
